"","Date","stock","value","change"
"227",2007-03-09,"IBM",77.447823,0.889796476267637
"228",2007-03-09,"SBUX",13.886421,-0.791816696325145
"229",2007-03-09,"AAPL",11.638296,2.15983508238663
"230",2007-03-09,"GSPC",1402.839966,0.268028434542046
"231",2007-03-12,"MSFT",22.085939,-2.62390926643418
"232",2007-03-12,"IBM",78.136951,-1.48762267419417
"233",2007-03-12,"SBUX",13.776466,-2.3611498043112
"234",2007-03-12,"AAPL",11.889664,-1.6356980315003
"235",2007-03-12,"GSPC",1406.599976,-2.03682820196493
"236",2007-03-13,"MSFT",21.506424,2.54490937219503
"237",2007-03-13,"IBM",76.974568,1.13256757738477
"238",2007-03-13,"SBUX",13.451183,-0.136248239281267
"239",2007-03-13,"AAPL",11.695185,1.8099499922404
"240",2007-03-13,"GSPC",1377.949951,0.669116682598576
"241",2007-03-14,"MSFT",22.053743,-0.43795286813672
"242",2007-03-14,"IBM",77.846357,-0.330637180619773
"243",2007-03-14,"SBUX",13.432856,0.920876394416804
"244",2007-03-14,"AAPL",11.906862,-0.477774916682504
"245",2007-03-14,"GSPC",1387.170044,0.3683748089935
"246",2007-03-15,"MSFT",21.957158,0.183284193701213
"247",2007-03-15,"IBM",77.588968,-0.214014961508437
"248",2007-03-15,"SBUX",13.556556,3.34572438604613
"249",2007-03-15,"AAPL",11.849974,0.0223291629163099
"250",2007-03-15,"GSPC",1392.280029,-0.382830888110078
"251",2007-03-16,"MSFT",21.997402,1.82948877326513
"252",2007-03-16,"IBM",77.422916,0.79356349740173
"253",2007-03-16,"SBUX",14.010121,1.50425538794419
"254",2007-03-16,"AAPL",11.85262,1.7189448408875
"255",2007-03-16,"GSPC",1386.949951,1.08944868479972
"256",2007-03-19,"MSFT",22.399842,0.0359332891723064
"257",2007-03-19,"IBM",78.037316,0.542612203628325
"258",2007-03-19,"SBUX",14.220869,1.095355002567
"259",2007-03-19,"AAPL",12.05636,0.384062851474251
"260",2007-03-19,"GSPC",1402.060059,0.633345336599463
"261",2007-03-20,"MSFT",22.407891,2.44253240967657
"262",2007-03-20,"IBM",78.460756,0.9100536833981
"263",2007-03-20,"SBUX",14.376638,2.83620551619926
"264",2007-03-20,"AAPL",12.102664,2.61259008760384
"265",2007-03-20,"GSPC",1410.939941,1.70808815454746
"266",2007-03-21,"MSFT",22.955211,-0.876576564685026
"267",2007-03-21,"IBM",79.174791,-0.178268863381019
"268",2007-03-21,"SBUX",14.784389,-1.952282234998
"269",2007-03-21,"AAPL",12.418857,0.0958783888082517
"270",2007-03-21,"GSPC",1435.040039,-0.0348422334158998
"271",2007-03-22,"MSFT",22.753991,-0.884332774852554
"272",2007-03-22,"IBM",79.033647,-0.168089168401906
"273",2007-03-22,"SBUX",14.495756,-0.695320754571201
"274",2007-03-22,"AAPL",12.430764,-0.468281756455195
"275",2007-03-22,"GSPC",1434.540039,0.109438980949912
"276",2007-03-23,"MSFT",22.55277,0.713774848943174
"277",2007-03-23,"IBM",78.9008,-0.0315674872751593
"278",2007-03-23,"SBUX",14.394964,1.6868260316594
